LATITUDE,LONGITUDE,DATE(IST),AIR_TEMPERATURE,SOIL_TEMPERATURE,SOIL_MOISTURE,RAINFALL
16.779,75.75,14/3/2015,0.0,0.0,0.0,0.0
16.779,75.75,15/3/2015,19.05,27.3,5.9,0.0
16.779,75.75,16/3/2015,21.65,28.0,6.0,0.0
16.779,75.75,17/3/2015,21.95,27.4,5.9,0.0
16.779,75.75,27/3/2015,30.65,30.9,5.9,0.0
16.779,75.75,28/3/2015,23.05,29.3,4.4,0.0
16.779,75.75,29/3/2015,21.8,28.3,4.3,0.0
16.779,75.75,30/3/2015,25.3,30.5,4.3,0.0
16.779,75.75,31/3/2015,22.7,29.3,4.2,0.0
16.779,75.75,1/4/2015,22.3,30.3,4.2,0.0
16.779,75.75,2/4/2015,23.5,30.9,4.2,0.0
16.779,75.75,3/4/2015,23.35,30.8,4.1,0.0
16.779,75.75,4/4/2015,23.1,30.6,4.1,0.0
16.779,75.75,5/4/2015,23.25,30.0,4.0,0.0
16.779,75.75,6/4/2015,24.9,30.8,4.0,0.0
16.779,75.75,7/4/2015,24.05,31.6,4.0,0.0
16.779,75.75,8/4/2015,23.75,31.5,4.0,0.0
16.779,75.75,9/4/2015,25.05,32.7,4.0,0.0
16.779,75.75,10/4/2015,22.75,32.6,4.0,0.0
16.779,75.75,11/4/2015,18.85,30.4,3.8,0.0
16.779,75.75,12/4/2015,20.15,29.0,4.1,0.0
16.779,75.75,13/4/2015,19.45,27.0,4.1,0.0
16.779,75.75,14/4/2015,18.5,25.1,4.1,0.0
16.779,75.75,15/4/2015,18.75,25.6,4.2,0.0
16.779,75.75,16/4/2015,17.95,24.3,8.7,0.0
16.779,75.75,22/4/2015,24.95,31.3,7.2,0.0
16.779,75.75,23/4/2015,22.75,29.4,6.9,0.0
16.779,75.75,24/4/2015,22.35,30.2,7.1,0.0
16.779,75.75,25/4/2015,24.3,30.3,7.0,0.0
16.779,75.75,26/4/2015,20.9,29.3,6.7,0.0
16.779,75.75,27/4/2015,22.95,29.6,6.5,0.0
16.779,75.75,28/4/2015,21.95,30.1,6.2,0.0
16.779,75.75,29/4/2015,23.45,31.1,6.0,0.0
16.779,75.75,30/4/2015,24.75,31.4,5.7,0.0
16.779,75.75,1/5/2015,24.95,31.5,5.4,0.0
16.779,75.75,2/5/2015,26.35,31.9,5.3,0.0
16.779,75.75,3/5/2015,24.7,31.6,5.1,0.0
16.779,75.75,4/5/2015,25.15,31.8,5.0,0.0
16.779,75.75,5/5/2015,22.5,31.9,4.9,0.0
16.779,75.75,6/5/2015,19.05,30.0,4.7,0.0
16.779,75.75,7/5/2015,22.75,29.9,4.9,0.0
16.779,75.75,8/5/2015,22.9,30.5,5.0,0.0
16.779,75.75,9/5/2015,27.75,31.3,5.0,0.0
16.779,75.75,10/5/2015,19.95,27.1,4.7,0.0
16.779,75.75,11/5/2015,22.35,28.5,4.9,0.0
16.779,75.75,12/5/2015,22.75,29.8,5.0,0.0
16.779,75.75,13/5/2015,20.45,28.6,5.0,0.0
16.779,75.75,14/5/2015,19.8,26.4,4.9,0.0
16.779,75.75,15/5/2015,20.4,28.5,5.0,0.0
16.779,75.75,16/5/2015,20.6,28.9,5.1,0.0
16.779,75.75,17/5/2015,23.05,30.2,5.2,0.0
16.779,75.75,18/5/2015,21.7,30.6,5.3,0.0
16.779,75.75,19/5/2015,23.4,32.0,5.3,0.0
16.779,75.75,20/5/2015,22.0,32.1,5.3,0.0
16.779,75.75,21/5/2015,24.1,33.2,5.3,0.0
16.779,75.75,22/5/2015,22.55,33.0,5.2,0.0
16.779,75.75,23/5/2015,23.8,33.5,5.1,0.0
16.779,75.75,24/5/2015,21.75,31.7,4.8,0.0
16.779,75.75,25/5/2015,22.95,32.8,4.8,0.0
16.779,75.75,26/5/2015,20.65,29.7,4.6,0.0
16.779,75.75,27/5/2015,23.25,33.8,4.8,0.0
16.779,75.75,28/5/2015,22.25,33.5,4.7,0.0
16.779,75.75,29/5/2015,24.7,34.1,4.7,0.0
16.779,75.75,30/5/2015,18.4,28.1,6.3,0.0
16.779,75.75,31/5/2015,22.3,28.3,7.2,0.0
16.779,75.75,1/6/2015,17.2,28.7,9.9,0.0
16.779,75.75,2/6/2015,19.9,27.4,8.1,0.0
16.779,75.75,3/6/2015,21.0,29.6,7.9,0.0
16.779,75.75,4/6/2015,23.75,30.6,7.8,0.0
16.779,75.75,5/6/2015,19.95,30.2,7.6,0.0
16.779,75.75,6/6/2015,20.8,29.4,7.4,0.0
16.779,75.75,7/6/2015,20.1,31.1,7.4,0.0
16.779,75.75,8/6/2015,21.1,29.7,7.2,0.0
16.779,75.75,9/6/2015,19.8,30.4,7.2,0.0
16.779,75.75,10/6/2015,20.15,29.9,7.1,0.0
16.779,75.75,11/6/2015,21.15,30.9,7.2,0.0
16.779,75.75,12/6/2015,19.3,28.2,9.3,0.0
16.779,75.75,13/6/2015,20.35,28.0,8.3,0.0
16.779,75.75,14/6/2015,19.65,28.5,8.0,0.0
16.779,75.75,15/6/2015,19.25,27.8,7.7,0.0
16.779,75.75,16/6/2015,18.35,24.8,10.1,0.0
16.779,75.75,17/6/2015,19.3,26.0,8.8,0.0
16.779,75.75,18/6/2015,18.8,26.9,8.4,0.0
16.779,75.75,19/6/2015,17.75,25.9,8.1,0.0
16.779,75.75,20/6/2015,17.9,25.3,7.8,0.0
16.779,75.75,21/6/2015,18.6,25.8,7.8,0.0
16.779,75.75,22/6/2015,18.0,24.0,8.9,0.0
16.779,75.75,23/6/2015,19.6,25.0,8.5,0.0
16.779,75.75,24/6/2015,19.0,26.2,8.2,0.0
16.779,75.75,25/6/2015,19.75,25.6,7.8,0.0
16.779,75.75,26/6/2015,19.55,26.3,7.6,0.0
16.779,75.75,27/6/2015,19.15,26.1,7.4,0.0
16.779,75.75,28/6/2015,19.4,26.9,7.2,0.0
16.779,75.75,29/6/2015,19.8,27.6,7.0,0.0
16.779,75.75,30/6/2015,19.85,28.0,6.8,0.0
16.779,75.75,1/7/2015,19.25,27.5,6.6,0.0
16.779,75.75,2/7/2015,19.85,27.2,6.5,0.0
16.779,75.75,3/7/2015,20.2,28.3,6.4,0.0
16.779,75.75,4/7/2015,19.8,29.0,6.3,0.0
16.779,75.75,5/7/2015,20.15,29.5,6.3,0.0
16.779,75.75,6/7/2015,19.55,29.1,6.2,0.0
16.779,75.75,7/7/2015,20.85,26.9,5.9,0.0
16.779,75.75,8/7/2015,21.0,27.4,5.8,0.0
16.779,75.75,9/7/2015,25.85,32.2,5.9,0.0
16.779,75.75,10/7/2015,19.9,29.0,5.7,0.0
16.779,75.75,11/7/2015,19.1,28.5,5.6,0.0
16.779,75.75,12/7/2015,19.55,28.6,5.5,0.0
16.779,75.75,13/7/2015,20.25,29.4,5.5,0.0
16.779,75.75,14/7/2015,20.2,30.3,5.5,0.0
16.779,75.75,15/7/2015,21.3,31.2,5.4,0.0
16.779,75.75,13/8/2015,31.95,30.0,10.7,2.5
16.779,75.75,14/8/2015,25.05,28.4,10.5,2.5
16.779,75.75,15/8/2015,25.65,29.3,10.3,2.5
16.779,75.75,16/8/2015,26.35,29.7,10.1,2.5
16.779,75.75,17/8/2015,26.45,29.9,9.9,2.5
16.779,75.75,18/8/2015,27.55,30.5,9.7,2.5
16.779,75.75,19/8/2015,29.0,30.9,9.4,2.5
16.779,75.75,20/8/2015,26.3,29.4,9.2,2.5
16.779,75.75,21/8/2015,25.8,28.2,9.1,2.5
